beta  ances 
0.224 0.416
0.218 0.415
0.224 0.420
0.228 0.419
0.227 0.424
0.230 0.423
0.230 0.423
0.230 0.423
0.231 0.423
0.231 0.425
0.231 0.424
0.232 0.424
0.232 0.425
0.232 0.424
0.232 0.425
0.233 0.424
0.232 0.423
0.232 0.426
0.231 0.426
0.231 0.425
0.231 0.425
0.231 0.425
0.230 0.425
0.231 0.425
0.231 0.425
0.231 0.424
0.231 0.425
0.231 0.425
0.231 0.424
0.231 0.424
0.231 0.424
0.231 0.424
0.231 0.424
0.231 0.424
0.231 0.424
0.230 0.425
0.230 0.425
0.230 0.425
0.230 0.425
0.230 0.426
0.231 0.425
0.230 0.426
0.231 0.426
0.231 0.426
0.231 0.426
0.231 0.426
0.231 0.426
0.231 0.426
0.231 0.426
