beta  ances 
0.226 0.309
0.232 0.314
0.232 0.317
0.226 0.318
0.223 0.322
0.223 0.322
0.226 0.321
0.223 0.319
0.222 0.319
0.222 0.320
0.221 0.320
0.219 0.319
0.219 0.319
0.219 0.318
0.219 0.319
0.218 0.319
0.219 0.319
0.219 0.320
0.219 0.320
0.219 0.320
0.219 0.319
0.219 0.319
0.219 0.319
0.219 0.320
0.219 0.319
0.219 0.319
0.218 0.319
0.218 0.319
0.218 0.319
0.218 0.319
0.218 0.319
0.218 0.319
0.218 0.318
0.218 0.318
0.218 0.318
0.219 0.318
0.219 0.317
0.219 0.317
0.219 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.218 0.316
0.219 0.316
0.218 0.316
