SITE_NAME,ID,MUN,NUM_IND,SITE_NUM,POP,NOM_IND,specie,POP_ASIG,ZONE,NUM_SAMPLE
1CZ,CZ_01,YOLOX,70,SITIO1,POP1,CZ_71,Qmacdougallii,POP1,NORTH,1CZ_01
1CZ,CZ_02,YOLOX,71,SITIO1,POP1,CZ_72,Qmacdougallii,POP1,NORTH,1CZ_02
1CZ,CZ_03,YOLOX,72,SITIO1,POP1,CZ_73,Qmacdougallii,POP1,NORTH,1CZ_03
1CZ,CZ_04,YOLOX,73,SITIO1,POP1,CZ_74,Qmacdougallii,POP1,NORTH,1CZ_04
1CZ,CZ_05,YOLOX,74,SITIO1,POP1,CZ_75,Qmacdougallii,POP1,NORTH,1CZ_05
1CZ,CZ_06,YOLOX,75,SITIO1,POP1,CZ_76,Qmacdougallii,POP1,NORTH,1CZ_06
1CZ,CZ_07,YOLOX,76,SITIO1,POP1,CZ_77,Qmacdougallii,POP1,NORTH,1CZ_07
1CZ,CZ_08,YOLOX,77,SITIO1,POP1,CZ_78,Qmacdougallii,POP1,NORTH,1CZ_08
1CZ,CZ_09,YOLOX,78,SITIO1,POP1,CZ_79,Qmacdougallii,POP1,NORTH,1CZ_09
1CZ,CZ_10,YOLOX,79,SITIO1,POP1,CZ_80,Qmacdougallii,POP1,NORTH,1CZ_10
2MT,MT_01,COMALTEPEC,60,SITIO2,POP1,MT_61,Qmacdougallii,POP1,NORTH,2MT_01
2MT,MT_02,COMALTEPEC,61,SITIO2,POP1,MT_62,Qmacdougallii,POP1,NORTH,2MT_02
2MT,MT_03,COMALTEPEC,62,SITIO2,POP1,MT_63,Qmacdougallii,POP1,NORTH,2MT_03
2MT,MT_04,COMALTEPEC,63,SITIO2,POP1,MT_64,Qmacdougallii,POP1,NORTH,2MT_04
2MT,MT_05,COMALTEPEC,64,SITIO2,POP1,MT_65,Qmacdougallii,POP1,NORTH,2MT_05
2MT,MT_06,COMALTEPEC,65,SITIO2,POP1,MT_66,Qmacdougallii,POP1,NORTH,2MT_06
2MT,MT_07,COMALTEPEC,66,SITIO2,POP1,MT_67,Qmacdougallii,POP1,NORTH,2MT_07
2MT,MT_08,COMALTEPEC,67,SITIO2,POP1,MT_68,Qmacdougallii,POP1,NORTH,2MT_08
2MT,MT_09,COMALTEPEC,68,SITIO2,POP1,MT_69,Qmacdougallii,POP1,NORTH,2MT_09
2MT,MT_10,COMALTEPEC,69,SITIO2,POP1,MT_70,Qmacdougallii,POP1,NORTH,2MT_10
3MC,MC_01,COMALTEPEC,30,SITIO3,POP1,MC_31,Qmacdougallii,POP1,NORTH,3MC_01
