ZONA,SITIO,NOM_IND,READS,PERCENTAGE,DROPPED_READS,PERCENTAGE.1,FILTER,X,X.1,X.2,X.3,X.4,X.5
NORTE,CZ,CZ_01,895135,,,,RAW_READS,,,,,,
NORTE,CZ,CZ_01,719616,80.39%,175519,19.61%,TRIMMOMATIC_01,SLIDINGWINDOW:4:20,CROP:140,HEADCROP:10,MINLEN:100,LEADING:20,TRAILING:20
NORTE,CZ,CZ_01,330146,36.88%,564989,63.12%,TRIMMOMATIC_02,SLIDINGWINDOW:4:30,CROP:140,HEADCROP:10,MINLEN:80,LEADING:30,TRAILING:30
NORTE,CZ,CZ_01,695419,77.69%,199716,22.31%,TRIMMOMATIC_03,SLIDINGWINDOW:4:20,CROP:120,HEADCROP:20,MINLEN:100,,
NORTE,CZ,CZ_02,744109,,,,RAW_READS,,,,,,
NORTE,CZ,CZ_02,600955,80.76%,143154,19.24%,TRIMMOMATIC_01,SLIDINGWINDOW:4:20,CROP:140,HEADCROP:10,MINLEN:100,LEADING:20,TRAILING:20
NORTE,CZ,CZ_02,282405,37.95%,461704,62.05%,TRIMMOMATIC_02,SLIDINGWINDOW:4:30,CROP:140,HEADCROP:10,MINLEN:80,LEADING:30,TRAILING:30
NORTE,CZ,CZ_02,581235,78.11%,162874,21.89%,TRIMMOMATIC_03,SLIDINGWINDOW:4:20,CROP:120,HEADCROP:20,MINLEN:100,,
NORTE,CZ,CZ_03,862573,,,,RAW_READS,,,,,,
NORTE,CZ,CZ_03,692633,80.30%,169940,19.70%,TRIMMOMATIC_01,SLIDINGWINDOW:4:20,CROP:140,HEADCROP:10,MINLEN:100,LEADING:20,TRAILING:20
NORTE,CZ,CZ_03,310872,36.04%,551701,63.96%,TRIMMOMATIC_02,SLIDINGWINDOW:4:30,CROP:140,HEADCROP:10,MINLEN:80,LEADING:30,TRAILING:30
NORTE,CZ,CZ_03,668873,77.54%,193700,22.46%,TRIMMOMATIC_03,SLIDINGWINDOW:4:20,CROP:120,HEADCROP:20,MINLEN:100,,
NORTE,CZ,CZ_04,941946,,,,RAW_READS,,,,,,
NORTE,CZ,CZ_04,763773,81.08%,178173,18.92%,TRIMMOMATIC_01,SLIDINGWINDOW:4:20,CROP:140,HEADCROP:10,MINLEN:100,LEADING:20,TRAILING:20
NORTE,CZ,CZ_04,359898,38.21%,582048,61.79%,TRIMMOMATIC_02,SLIDINGWINDOW:4:30,CROP:140,HEADCROP:10,MINLEN:80,LEADING:30,TRAILING:30
NORTE,CZ,CZ_04,739403,78.50%,202543,21.50%,TRIMMOMATIC_03,SLIDINGWINDOW:4:20,CROP:120,HEADCROP:20,MINLEN:100,,
NORTE,CZ,CZ_05,932356,,,,RAW_READS,,,,,,
NORTE,CZ,CZ_05,755235,81.00%,177121,19.00%,TRIMMOMATIC_01,SLIDINGWINDOW:4:20,CROP:140,HEADCROP:10,MINLEN:100,LEADING:20,TRAILING:20
NORTE,CZ,CZ_05,356839,38.27%,575517,61.73%,TRIMMOMATIC_02,SLIDINGWINDOW:4:30,CROP:140,HEADCROP:10,MINLEN:80,LEADING:30,TRAILING:30
NORTE,CZ,CZ_05,730486,78.35%,201870,21.65%,TRIMMOMATIC_03,SLIDINGWINDOW:4:20,CROP:120,HEADCROP:20,MINLEN:100,,
NORTE,CZ,CZ_06,930248,,,,RAW_READS,,,,,,
NORTE,CZ,CZ_06,743885,79.97%,186363,20.03%,TRIMMOMATIC_01,SLIDINGWINDOW:4:20,CROP:140,HEADCROP:10,MINLEN:100,LEADING:20,TRAILING:20
NORTE,CZ,CZ_06,333571,35.86%,596677,64.14%,TRIMMOMATIC_02,SLIDINGWINDOW:4:30,CROP:140,HEADCROP:10,MINLEN:80,LEADING:30,TRAILING:30
NORTE,CZ,CZ_06,718156,77.20%,212092,22.80%,TRIMMOMATIC_03,SLIDINGWINDOW:4:20,CROP:120,HEADCROP:20,MINLEN:100,,
NORTE,CZ,CZ_07,886574,,,,RAW_READS,,,,,,
NORTE,CZ,CZ_07,716854,80.86%,169720,19.14%,TRIMMOMATIC_01,SLIDINGWINDOW:4:20,CROP:140,HEADCROP:10,MINLEN:100,LEADING:20,TRAILING:20
NORTE,CZ,CZ_07,340698,38.43%,545876,61.57%,TRIMMOMATIC_02,SLIDINGWINDOW:4:30,CROP:140,HEADCROP:10,MINLEN:80,LEADING:30,TRAILING:30
NORTE,CZ,CZ_07,693653,78.24%,192921,21.76%,TRIMMOMATIC_03,SLIDINGWINDOW:4:20,CROP:120,HEADCROP:20,MINLEN:100,,
NORTE,CZ,CZ_08,952933,,,,RAW_READS,,,,,,
NORTE,CZ,CZ_08,765993,80.38%,186940,19.62%,TRIMMOMATIC_01,SLIDINGWINDOW:4:20,CROP:140,HEADCROP:10,MINLEN:100,LEADING:20,TRAILING:20
