"from","to","weight","color","width"
"CZ_01","CZ_05",0.094150417827298,"gray70",1
"CZ_01","MT_09",0.0935933147632312,"gray70",1
"CZ_01","MT_10",0.0890436397400186,"gray70",1
"CZ_02","CZ_09",0.0971216341689879,"gray70",1
"CZ_03","MB_03",0.0922005571030641,"gray70",1
"CZ_03","MB_10",0.0921077065923863,"gray70",1
"CZ_04","CY_08",0.112070566388115,"gray70",1
"CZ_06","CZ_10",0.0896935933147632,"gray70",1
"CZ_07","CZ_10",0.0911792014856082,"gray70",1
"CZ_07","MC_05",0.0900649953574745,"gray70",1
"CZ_07","CR_06",0.0904363974001857,"gray70",1
"CZ_08","MC_05",0.0921077065923863,"gray70",1
"CZ_09","CR_06",0.0911792014856082,"gray70",1
"MT_01","MT_05",0.09322191272052,"gray70",1
"MT_02","MT_07",0.0900649953574745,"gray70",1
"MT_02","MB_10",0.0910863509749304,"gray70",1
"MT_02","CY_06",0.0887650882079851,"gray70",1
"MT_03","MT_05",0.0740018570102136,"gray70",1
"MT_03","MT_08",0.084958217270195,"gray70",1
"MT_03","CY_09",0.0860724233983287,"gray70",1
"MT_04","MC_09",0.0928505106778087,"gray70",1
"MT_05","MT_10",0.08347260909935,"gray70",1
"MT_05","CY_08",0.0879294336118849,"gray70",1
"MT_06","CY_02",0.0915506035283194,"gray70",1
"MC_01","CY_06",0.0938718662952646,"gray70",1
"MC_02","MB_03",0.0966573816155989,"gray70",1
"MC_03","MB_02",0.0935933147632312,"gray70",1
"MC_04","CR_02",0.0920148560817085,"gray70",1
"MC_06","MB_08",0.0930362116991643,"gray70",1
"MC_07","CY_05",0.0913649025069638,"gray70",1
"MC_08","MC_09",0.0922005571030641,"gray70",1
"MC_09","MC_10",0.0792014856081708,"gray70",1
"MC_10","CY_05",0.0907149489322191,"gray70",1
"MB_01","MB_02",0.0662024141132776,"gray70",1
"MB_01","IT_01",0.0942432683379759,"gray70",1
"MB_02","MB_05",0.0901578458681523,"gray70",1
"MB_02","MB_08",0.0914577530176416,"gray70",1
"MB_02","CY_08",0.0887650882079851,"gray70",1
"MB_04","CY_06",0.0933147632311978,"gray70",1
"MB_06","CY_08",0.0918291550603528,"gray70",1
"MB_07","CY_08",0.0933147632311978,"gray70",1
"MB_09","MB_10",0.0856081708449396,"gray70",1
"CY_01","CY_02",0.0881151346332405,"gray70",1
"CY_01","CR_03",0.0892293407613742,"gray70",1
"CY_02","CY_04",0.0884865366759517,"gray70",1
"CY_02","CY_06",0.0806870937790158,"gray70",1
"CY_02","CR_09",0.0901578458681523,"gray70",1
"CY_02","IT_03",0.0935933147632312,"gray70",1
"CY_03","CY_04",0.0757660167130919,"gray70",1
"CY_03","CY_07",0.0868152274837512,"gray70",1
"CY_05","CY_08",0.0882079851439183,"gray70",1
"CY_06","LS_01",0.0953574744661096,"gray70",1
"CY_07","CY_08",0.0859795728876509,"gray70",1
"CY_08","CY_10",0.0935004642525534,"gray70",1
"LS_01","LS_04",0.0832869080779944,"gray70",1
"LS_01","CR_04",0.0777158774373259,"gray70",1
"LS_02","PZ_09",0.0794800371402043,"gray70",1
"LS_02","CR_01",0.0780872794800371,"gray70",1
"LS_03","CR_08",0.0944289693593315,"gray70",1
"PZ_01","CR_01",0.0715877437325905,"gray70",1
"PZ_02","PZ_04",0.0763231197771588,"gray70",1
"PZ_03","CR_01",0.0605385329619313,"gray70",1
"PZ_04","CR_01",0.0755803156917363,"gray70",1
"PZ_05","PZ_06",0.0748375116063138,"gray70",1
"PZ_06","PZ_07",0.0739090064995357,"gray70",1
"PZ_06","PZ_10",0.0622098421541318,"gray70",1
"PZ_06","CR_01",0.0593314763231198,"gray70",1
"PZ_07","PZ_12",0.0704735376044568,"gray70",1
"PZ_08","CR_01",0.0674094707520891,"gray70",1
"PZ_10","CR_02",0.0784586815227484,"gray70",1
"PZ_11","CR_01",0.0666666666666667,"gray70",1
"CR_01","CR_03",0.0884865366759517,"gray70",1
"CR_02","CR_05",0.080594243268338,"gray70",1
"CR_02","CR_06",0.0857010213556175,"gray70",1
"CR_05","CR_07",0.0796657381615599,"gray70",1
"CR_06","CR_08",0.0871866295264624,"gray70",1
"CR_09","CR_10",0.0901578458681523,"gray70",1
"IT_02","IT_03",0.0776230269266481,"gray70",1
"MC_03","CY_08",0.0935933147632312,"gray70",1
